UID,col_4,y,col_0_numerical,col_1_numerical,col_2_numerical,col_3_numerical,col_5_numerical,col_6_numerical
172,100,175000,0,0,15,1,1,2
173,100,135000,0,0,9,55,53,2
174,100,213580,0,-1,11,1,1,2
175,0,193900,0,0,34,1,1,-1
176,0,105500,1,0,4,1,1,2
177,100,110000,0,0,2,1,1,2
178,0,122600,0,0,11,1,1,2
179,0,160000,2,0,6,1,1,2
180,100,151902,0,0,58,4,4,0
181,100,275300,0,0,2,1,1,2
182,0,175000,3,0,11,1,1,2
183,0,139500,0,0,9,1,1,2
184,0,106000,0,0,7,1,1,2
185,0,185000,0,0,2,4,4,2
186,50,60795,1,0,54,6,6,0
187,100,182750,0,0,2,1,1,-1
188,50,90734,-1,0,2,3,3,0
189,0,83000,2,0,9,1,1,0
190,0,120000,0,0,2,1,1,2
191,100,34672,2,0,34,42,3,1
192,0,126000,0,0,9,1,1,2
193,100,150000,3,0,7,1,1,2
194,100,128000,0,0,11,1,1,2
195,0,115000,0,0,11,1,1,2
196,100,153000,0,0,2,1,1,2
197,100,157000,1,0,21,1,1,0
198,100,165220,0,0,2,1,1,2
199,100,150000,1,0,47,1,1,2
200,100,210000,0,0,11,1,1,2
201,0,122500,0,0,2,1,1,2
202,100,192500,0,0,4,1,1,2
203,100,141525,0,0,2,1,1,2
204,100,46000,2,-1,4,1,1,0
205,100,113000,0,0,7,1,1,2
206,100,86000,0,0,27,1,1,2
207,0,163800,0,0,11,1,1,2
208,100,220000,0,0,11,1,1,2
209,100,70000,2,0,4,1,1,2
210,50,105000,1,0,20,1,1,0
211,0,152000,0,0,2,1,1,2
212,0,120000,0,0,2,1,1,2
213,0,206000,1,0,4,1,1,-1
214,0,90000,1,0,4,1,1,2
215,0,200000,1,-1,34,1,1,1
216,100,180000,0,0,15,1,1,2
217,100,103691,0,0,2,2,2,0
218,0,80000,0,0,4,1,1,-1
219,100,192600,0,0,9,1,1,2
220,0,142200,0,0,9,1,1,2
221,100,180000,0,0,11,1,1,2
222,0,73880,0,0,11,4,4,2
223,100,6359,2,0,4,12,6,0
224,0,120000,0,0,15,1,1,2
225,50,90734,1,0,2,3,3,0
226,0,36773,0,-1,11,0,0,2
227,0,78990,1,0,2,4,4,2
228,0,18907,0,0,12,26,23,2
229,0,154000,0,0,2,1,1,2
230,0,200000,0,0,6,1,1,2
231,100,100000,1,0,28,1,1,2
232,50,24165,2,0,50,42,38,2
233,0,85000,2,0,11,1,1,2
234,0,36773,0,0,11,0,0,2
235,0,100000,1,0,4,1,1,2
236,0,142200,0,0,9,1,1,2
237,0,150000,1,0,4,1,1,2
238,100,93918,1,0,2,1,1,2
239,100,75000,0,0,11,1,1,2
240,100,188800,0,0,9,1,1,2
241,0,95000,1,0,11,1,1,2
242,100,170000,0,0,89,1,1,2
243,100,200000,0,0,9,1,1,2
244,0,18000,1,0,29,75,70,1
245,0,81500,0,0,11,1,1,2
246,0,213660,2,0,3,1,1,0
247,100,100000,0,0,4,1,1,2
248,0,169000,0,0,4,1,1,2
249,100,200000,0,0,2,1,1,2
250,100,131300,0,0,9,1,1,0
251,0,240000,0,0,26,1,1,0
252,0,90000,0,0,11,1,1,2
253,100,185000,0,0,11,1,1,2
254,0,85000,2,0,11,1,1,2
255,0,250000,1,0,9,1,1,2
256,0,220000,0,0,9,1,1,2
257,0,225000,0,0,11,1,1,2
258,0,120000,2,0,6,1,1,-1
259,0,141600,-1,0,11,1,1,2
260,100,122000,0,0,4,1,1,2
261,0,191200,0,0,11,1,1,2
262,0,225000,0,0,2,1,1,2
263,0,127000,0,0,4,1,1,2
264,100,104611,0,0,11,4,4,2
265,100,174000,0,0,11,1,1,0
266,100,50000,1,0,2,5,5,0
267,100,140000,0,0,9,1,1,2
268,100,101570,0,0,11,1,1,2
269,100,66000,0,0,15,1,1,2
270,100,180000,0,0,11,1,1,-1
271,0,104500,1,0,26,1,1,2
272,0,65488,0,0,11,1,1,2
273,0,110600,0,0,4,1,1,2
274,0,129300,0,0,2,1,1,2
275,100,180000,0,0,9,1,1,2
276,0,141300,0,0,15,1,1,2
277,0,90000,1,0,9,1,1,2
278,50,66970,2,0,62,21,18,0
279,100,225000,0,0,2,1,1,-1
280,100,134760,0,0,11,1,1,2
281,0,148750,0,0,2,1,1,2
282,100,209100,0,0,11,1,1,-1
283,0,106500,0,0,11,1,1,2
284,0,144000,0,0,2,1,1,0
285,50,45390,2,0,11,4,4,0
286,100,148700,0,0,30,1,1,0
287,50,61896,0,0,92,4,4,0
288,100,84053,1,0,9,12,3,2
289,0,155000,0,0,2,1,1,2
290,100,61566,0,0,11,4,4,2
291,0,180000,0,0,2,1,1,2
292,0,185900,0,0,2,1,1,2
293,100,210000,0,0,9,1,1,-1
294,0,100000,0,0,11,1,1,2
295,0,110000,0,0,11,1,1,2
296,0,179820,0,0,7,1,1,2
297,0,152000,0,0,11,1,1,2
298,0,170000,0,0,2,1,1,2
299,0,136000,0,0,3,1,1,0
300,50,20984,1,0,9,6,6,0
301,0,175100,3,0,26,1,1,2
302,100,120000,0,0,4,1,1,2
303,100,102500,-1,0,4,1,1,2
304,0,185900,0,0,2,1,1,2
305,0,156400,0,0,2,1,1,2
306,0,92350,0,0,7,4,4,2
307,0,130000,0,0,2,1,1,2
308,0,64090,-1,0,2,3,3,2
309,100,6270,2,0,53,26,23,0
310,0,204500,0,0,9,1,1,2
311,100,190000,0,0,15,1,1,2
312,100,288000,0,0,9,1,1,2
313,100,81666,0,0,4,1,1,2
314,0,169000,0,0,4,1,1,2
315,0,160288,3,0,54,4,4,2
316,0,200000,-1,0,11,1,1,2
317,100,160000,0,0,11,1,1,2
318,100,115000,0,0,4,1,1,1
319,100,85000,0,0,11,1,1,2
320,100,90000,0,0,26,24,22,-1
321,50,72212,1,0,11,4,4,0
322,0,135000,0,0,1,1,1,2
323,100,100000,2,0,59,1,1,2
324,100,183500,0,0,2,1,1,-1
325,0,85500,0,0,4,1,1,-1
326,0,154000,1,0,11,1,1,2
327,0,108000,0,0,38,1,1,0
328,0,167500,1,0,15,1,1,2
329,0,210000,3,0,11,1,1,2
330,0,48289,0,0,2,0,0,2
331,0,237000,0,0,2,1,1,2
332,100,130000,0,0,11,1,1,2
333,0,129300,0,0,11,1,1,2
334,100,105400,0,0,19,1,1,2
335,0,130240,0,0,2,1,1,2
336,0,33808,1,0,2,6,6,2
337,100,98506,1,0,11,4,4,2
338,0,95000,1,0,11,1,1,2
339,0,119000,0,0,4,1,1,-1
340,100,85847,0,0,0,0,0,0
341,100,179400,0,0,2,1,1,2
342,100,90000,0,-1,11,1,1,2
343,0,149600,1,0,11,1,1,2
344,0,121700,0,0,4,1,1,2
345,0,133832,0,0,11,1,1,2
346,0,38631,0,0,2,0,0,2
347,0,136100,0,0,2,1,1,2
348,0,260000,1,0,11,1,1,2
349,100,119000,0,0,4,1,1,2
350,0,182160,3,0,26,1,1,2
351,100,200000,0,0,15,1,1,2
352,100,275300,0,0,2,1,1,2
353,100,112000,1,0,11,1,1,0
354,0,230000,-1,0,6,1,1,2
355,0,204500,0,0,9,1,1,2
356,0,136000,0,0,3,1,1,0
357,100,90000,0,0,38,1,1,0
358,0,129300,0,0,2,1,1,2
359,100,132320,0,0,11,1,1,2
360,0,137500,0,0,11,1,1,2
361,100,120000,1,0,6,1,1,2
362,100,126500,0,0,2,1,1,2
363,0,22611,1,0,29,6,6,0
364,0,228000,0,0,15,1,1,2
365,0,80000,-1,0,11,1,1,2
366,100,195000,0,0,52,1,1,2
367,100,130000,0,0,4,2,2,2
368,100,416000,3,1,0,1,1,1
369,100,90000,1,0,11,1,1,2
370,100,136000,-1,0,2,1,1,2
371,100,120000,2,-1,6,4,4,-1
372,100,81666,0,0,4,1,1,2
373,0,146000,0,0,11,1,1,2
374,100,144000,0,0,11,1,1,2
375,100,50000,2,0,70,1,45,1
376,0,146000,1,0,11,1,1,2
377,50,76833,0,0,11,40,4,1
378,0,153600,0,0,4,1,1,2
379,0,150000,1,-1,4,1,1,2
380,0,80481,1,0,2,16,14,2
381,0,160000,0,0,11,1,1,2
382,0,205000,0,0,3,1,1,2
383,100,9289,1,0,20,26,23,2
384,0,145000,3,0,11,1,1,2
385,0,225000,0,-1,2,1,1,2
386,100,175000,0,0,2,1,1,2
387,0,80000,1,0,30,1,1,2
388,50,160000,0,0,87,55,1,1
389,100,90000,1,0,11,1,1,2
390,100,167000,0,0,2,1,1,2
391,100,164000,0,0,9,1,1,2
392,0,92350,1,0,9,4,4,2
393,0,205920,0,0,52,1,1,2
394,100,324000,3,0,11,1,1,2
395,100,73546,1,0,11,0,0,2
396,50,81000,2,0,9,1,1,1
397,0,102100,0,0,11,1,1,2
398,0,249500,0,0,2,1,1,2
399,100,150000,0,0,11,1,1,2
400,100,202000,0,0,11,1,1,2
401,0,222200,0,0,3,1,1,0
402,0,120000,0,0,18,1,1,2
403,100,208450,0,0,4,1,1,2
404,0,82000,2,0,2,1,1,0
405,100,191475,0,0,2,1,1,2
406,100,102640,1,0,4,1,1,2
407,0,136000,0,0,3,1,1,0
408,0,155000,1,0,19,1,1,2
409,0,100000,0,0,11,1,1,2
410,0,139500,0,0,9,1,1,2
411,0,120000,1,0,11,1,1,2
412,50,120000,0,0,2,1,1,0
413,0,183310,1,0,2,1,1,2
414,0,40481,1,0,2,6,6,0
415,100,140000,0,0,2,1,1,0
416,0,165000,1,0,2,1,1,2
417,0,126000,0,0,9,1,1,2
418,100,138750,0,0,11,1,1,2
419,100,128875,0,0,11,1,1,2
420,0,129300,0,0,11,1,1,2
421,100,150000,1,0,2,1,1,2
422,100,225000,0,0,11,1,1,2
423,0,130000,1,0,11,1,1,2
424,100,51753,2,0,2,2,2,0
425,50,109024,-1,0,29,4,4,2
426,0,174500,0,0,15,1,1,2
427,100,104000,0,0,11,1,1,2
428,0,106500,1,0,15,1,1,2
429,100,207000,0,0,2,1,1,2
430,100,236900,0,0,2,1,1,0
431,100,175100,0,0,26,1,1,2
432,100,139000,0,0,2,1,1,2
433,100,141525,0,0,2,1,1,2
434,100,175000,3,0,7,1,1,2
435,100,33000,2,0,69,42,3,1
436,100,269000,0,0,9,2,2,2
437,0,190000,0,-1,2,1,1,2
438,0,190000,0,0,2,1,1,2
439,0,143865,1,0,11,1,1,2
440,100,72000,1,0,11,24,22,2
441,100,141525,0,0,2,1,1,2
442,0,100000,-1,0,4,1,1,2
443,50,65666,1,0,11,3,3,1
444,0,129000,0,0,11,1,1,2
445,0,128750,1,0,2,1,1,2
446,0,116000,0,0,4,1,1,2
447,0,125000,2,0,6,1,1,2
448,100,183000,0,0,76,1,1,0
449,100,172309,0,0,39,16,14,0
450,50,130026,3,0,33,3,3,2
451,0,125000,1,0,11,1,1,2
452,0,115000,0,0,2,1,1,2
453,100,178800,0,0,11,1,1,0
454,0,200000,3,0,2,1,1,2
455,0,129300,0,0,2,1,1,2
456,0,84053,1,0,18,3,3,1
457,100,145000,0,0,11,2,2,2
458,100,216000,0,0,11,1,1,2
459,0,124234,2,0,2,1,1,2
460,100,151410,1,-1,2,1,1,2
461,0,142200,0,0,9,1,1,2
462,0,190000,0,0,2,2,2,-1
463,100,130000,0,-1,4,1,1,2
464,0,169000,-1,0,4,1,1,2
465,0,215000,0,0,2,1,1,0
466,50,423000,1,-1,38,1,1,0
467,100,63040,-1,-1,11,0,0,2
468,0,200000,3,0,2,1,1,2
469,0,195700,0,0,11,1,1,2
470,0,123405,0,0,48,3,3,0
471,0,260000,0,0,3,1,1,0
472,0,210000,0,0,2,1,1,2
473,100,100000,1,0,4,1,1,2
474,100,75000,2,0,4,1,1,2
475,0,169000,0,0,4,1,1,2
476,100,160000,0,0,11,1,1,2
477,0,252000,0,0,11,1,1,2
478,0,77262,0,0,2,39,35,2
479,0,204500,0,0,4,1,1,2
480,0,235000,0,0,12,1,1,2
481,0,98000,1,0,53,1,1,2
482,0,140000,0,0,27,1,1,2
483,0,194500,3,0,11,1,1,2
484,0,142200,0,0,9,1,1,2
485,0,170000,0,0,2,1,1,2
486,50,112872,1,0,11,4,4,0
487,0,160000,2,0,11,1,1,2
488,100,184000,0,-1,3,1,1,2
489,100,78000,1,0,2,1,1,2
490,0,172200,0,0,9,1,1,2
491,0,40777,0,0,4,0,0,2
492,100,231250,0,0,7,1,1,2
493,0,85000,2,0,11,1,1,2
494,100,100000,1,0,4,1,1,2
495,0,185900,0,0,2,1,1,2
496,0,198800,0,0,27,1,1,2
497,0,52500,1,0,4,1,1,2
498,0,245100,-1,0,26,1,1,2
499,50,219000,1,0,9,1,1,0
500,100,45760,1,0,2,58,1,1
501,0,37824,0,0,2,0,0,2
502,100,165000,0,0,11,1,1,2
503,100,80000,0,0,4,71,1,-1
504,0,145885,2,0,9,1,1,2
505,100,85000,1,0,7,1,1,2
506,0,50180,1,0,52,8,24,2
507,0,168400,0,0,15,1,1,2
508,100,55000,2,0,4,1,1,1
509,100,149040,-1,0,15,1,1,2
510,100,235000,0,0,0,1,1,0
511,100,110000,0,0,18,1,1,2
512,100,115000,0,-1,15,1,1,2
513,0,225900,0,0,47,1,1,2
514,0,110037,2,0,21,4,4,0
515,0,42533,-1,0,55,4,4,2
516,0,110600,0,0,4,1,1,2
517,100,155000,0,0,11,1,1,-1
518,0,160000,0,0,2,1,1,2
519,100,160000,0,0,2,1,1,2
520,100,109280,0,0,19,1,1,2
521,100,150000,0,0,38,1,1,2
522,100,80000,1,0,4,1,1,0
523,100,105000,0,0,11,1,1,2
524,0,176000,0,0,2,2,2,2
525,100,160000,0,0,11,1,1,2
526,0,228000,0,0,2,1,1,2
527,100,170000,1,0,11,1,1,2
528,100,100000,-1,0,1,1,1,2
529,0,100000,0,0,4,1,1,2
530,0,185900,0,0,2,1,1,2
531,0,200160,0,0,2,1,1,2
532,50,63312,0,0,2,32,29,0
533,0,160000,0,0,11,1,1,2
534,0,250000,0,0,11,1,1,2
535,0,80000,0,0,11,1,1,0
536,100,173762,0,0,0,3,3,2
537,0,126000,0,0,11,1,1,2
538,0,172800,0,0,11,1,1,2
539,100,125000,-1,0,15,1,1,2
540,0,153400,0,-1,9,1,1,2
541,100,63000,0,-1,85,1,1,2
542,0,85500,0,0,4,1,1,2
543,0,247500,0,0,26,1,1,2
544,0,87000,1,-1,9,1,1,2
545,0,180180,0,0,4,1,1,2
546,0,100000,2,0,18,1,1,2
547,100,225000,0,0,15,1,1,2
548,0,155000,3,0,19,1,1,2
549,0,170000,0,0,11,1,1,2
550,100,183500,0,0,2,1,1,2
551,0,139500,0,0,2,1,1,2
552,0,68293,0,0,11,0,0,2
553,100,47280,1,0,11,0,0,2
554,0,140000,0,0,11,1,1,2
555,0,135000,1,0,4,1,1,2
556,0,144100,1,0,4,1,1,2
557,100,63000,0,0,85,1,1,2
558,0,129300,0,0,9,1,1,2
559,0,75000,1,0,4,2,2,2
560,100,180000,0,0,15,1,1,2
561,0,122000,0,0,2,1,1,2
562,0,165000,-1,0,2,1,1,2
563,100,140000,0,0,2,1,1,2
564,0,100000,2,0,18,72,67,0
565,100,120250,0,0,4,1,1,2
566,100,216000,0,0,9,1,1,2
567,100,67597,1,0,2,2,2,2
568,100,149040,-1,0,15,1,1,2
569,0,60000,0,0,17,15,13,2
570,100,135000,0,0,11,1,1,2
571,100,185000,0,0,4,1,1,2
572,0,70186,0,0,4,4,4,2
573,100,13989,1,0,2,6,6,0
574,0,150000,0,0,2,1,1,2
575,0,120000,1,0,2,1,1,2
576,100,110000,1,0,4,1,1,2
577,0,83171,1,0,2,13,19,0
578,0,284310,0,0,9,1,1,2
579,0,145000,0,0,9,1,1,2
580,100,150000,1,0,56,1,1,2
581,0,37824,0,0,2,0,0,2
582,0,185900,0,0,2,1,1,2
583,0,226700,0,0,11,1,1,2
584,0,115092,1,0,11,1,1,2
585,100,260000,0,0,2,1,1,2
586,0,143200,-1,0,7,1,1,2
587,100,133766,0,0,26,13,19,0
588,0,260500,3,0,26,1,1,2
589,0,143100,0,0,2,2,2,2
590,100,115000,0,0,27,1,1,2
591,0,175000,0,0,2,1,1,2
592,0,97218,1,0,4,4,4,2
593,0,81500,0,0,15,1,1,2
594,100,80000,2,0,11,1,1,0
595,100,130000,0,0,11,1,1,2
596,0,93800,0,0,2,1,1,2
597,100,184000,0,0,3,1,1,2
598,0,51039,1,0,55,4,4,2
599,100,188000,0,0,11,1,1,0
600,0,145000,0,0,50,1,1,2
601,100,165000,0,0,2,1,1,2
602,0,195895,1,0,18,4,4,2
603,0,252000,0,0,11,1,1,2
604,0,172200,0,0,11,1,1,-1
605,100,68400,0,0,4,1,1,2
606,100,75116,0,-1,25,8,24,0
607,100,92000,0,0,2,1,1,0
608,0,185900,0,0,4,1,1,2
609,100,150000,0,0,11,1,1,0
610,100,69751,1,0,16,6,3,1
611,100,250000,0,0,11,1,1,2
612,100,90000,1,0,11,1,1,2
613,100,144000,0,0,11,1,1,2
614,0,240500,0,0,4,1,1,2
615,100,110000,0,0,4,1,1,-1
616,100,208000,0,0,2,1,1,2
617,100,130000,0,0,4,1,1,2
618,0,202800,0,-1,2,1,1,0
619,100,200000,0,0,11,1,1,2
620,0,185900,0,0,2,1,1,2
621,100,191475,-1,0,2,1,1,2
622,100,38400,1,0,38,31,1,2
623,100,198200,0,-1,2,1,1,2
624,0,36773,0,0,4,0,0,2
625,0,150000,0,0,11,1,1,2
626,100,148000,0,0,2,1,1,2
627,0,196200,3,0,11,1,1,2
628,50,40000,1,0,2,12,11,0
629,0,200000,0,0,9,1,1,2
630,0,198200,0,0,2,1,1,2
631,100,55800,0,0,4,0,0,2
632,100,175000,0,0,11,1,1,2
633,100,145000,0,0,2,1,1,2
634,0,12000,2,0,11,31,28,0
635,100,275300,0,0,2,1,1,2
636,0,309400,-1,0,3,1,1,0
637,100,75116,0,0,52,12,11,2
638,100,250000,0,0,11,1,1,2
639,50,69999,1,0,18,51,51,0
640,0,175000,0,0,11,1,1,2
641,100,160000,0,0,15,1,1,2
642,100,84000,0,0,2,1,1,2
643,100,66837,1,0,11,4,4,2
644,100,130000,1,0,28,1,1,2
645,0,140000,0,0,2,1,1,2
646,0,180000,0,0,2,1,1,-1
647,100,160000,0,0,40,1,1,2
648,0,130000,1,0,11,1,1,2
649,50,109000,1,0,2,1,1,0
650,0,175000,0,0,2,1,1,2
651,0,80000,-1,0,4,1,1,2
652,100,205000,0,0,3,1,1,2
653,0,350000,-1,0,3,1,1,0
654,100,67723,1,0,11,4,4,2
655,100,135000,0,0,15,1,1,2
656,100,130000,0,0,2,1,1,2
657,0,250000,0,0,2,1,1,2
658,0,163800,0,0,11,1,1,2
659,0,136000,0,0,3,1,1,0
660,0,172200,0,0,9,1,1,2
661,100,100000,1,0,4,2,2,2
662,0,172200,-1,0,9,1,1,2
663,0,175000,0,0,6,1,1,2
664,100,93800,0,0,4,1,1,2
665,0,250000,0,0,11,1,1,2
666,0,129300,-1,0,2,1,1,2
667,100,136620,0,0,2,1,1,2
668,0,49268,2,0,2,3,3,1
669,0,99000,0,0,4,1,1,2
670,0,115500,3,0,11,1,1,2
671,100,310000,3,0,11,1,1,2
672,0,126500,1,0,4,1,1,-1
673,100,30000,1,0,2,24,22,0
674,0,100000,-1,0,11,1,1,2
675,100,59102,2,0,20,76,61,0
676,0,106000,0,0,4,1,1,2
677,100,186000,0,0,9,1,1,2
678,0,150000,0,0,18,1,1,2
679,0,113000,1,0,4,1,1,0
680,100,297300,0,0,2,1,1,2
681,0,90000,1,0,2,1,1,2
682,0,135000,0,0,11,1,1,2
683,50,17509,1,0,63,6,18,2
684,0,150000,0,0,7,1,1,2
685,0,120000,0,0,11,1,1,2
686,0,105000,0,0,2,1,1,2
687,0,155000,0,0,4,1,1,2
688,0,250000,0,0,85,1,1,2
689,0,113750,0,0,11,1,1,2
690,100,42026,1,-1,4,0,0,2
691,0,153600,0,0,11,1,1,2
692,0,145900,0,0,18,1,1,2
693,0,163800,0,0,9,1,1,2
694,100,100000,2,0,13,5,5,0
695,0,160000,0,0,11,1,1,2
696,0,135000,0,0,11,1,1,2
697,50,89306,-1,0,18,12,11,0
698,100,80000,2,0,11,1,1,0
699,0,60761,1,0,4,4,4,2
700,0,240000,0,0,11,1,1,2
701,0,161800,0,0,11,1,1,2
702,100,120000,1,0,2,1,1,2
703,0,55000,2,0,4,1,1,2
704,100,60000,1,0,4,1,1,2
705,0,26005,1,0,11,40,1,0
706,100,175100,0,0,11,1,1,2
707,50,21844,2,0,9,20,17,2
708,0,258000,0,0,2,2,2,2
709,100,90000,1,0,11,1,1,0
710,100,175000,0,0,2,1,1,2
711,0,169200,0,0,18,0,0,2
712,0,100000,0,0,11,1,1,2
713,100,210000,0,0,2,1,1,2
714,0,152000,0,0,7,1,1,2
715,0,36773,0,0,11,8,24,2
716,0,120000,1,0,27,1,1,2
717,0,115440,0,0,2,1,1,2
718,100,191475,0,0,2,1,1,2
719,0,130000,1,0,2,1,1,2
720,0,110600,0,0,4,1,1,2
721,100,75000,0,0,4,1,1,2
722,0,79000,1,0,4,1,1,2
723,0,50432,0,0,4,0,0,2
724,0,142200,0,0,9,1,1,2
725,100,177000,0,0,21,1,1,0
