,y,col_0_numerical,col_1_numerical,col_3_numerical,col_5_numerical,col_6_numerical
112,147100,0,0,1,1,2
113,150000,1,0,1,1,2
114,160000,0,0,1,1,2
115,276000,0,0,1,1,2
116,115000,0,0,1,1,2
117,95000,0,0,1,1,2
118,275000,0,0,1,1,2
119,49253,2,0,4,4,2
120,105200,0,0,1,1,2
121,141525,0,0,1,1,2
122,70000,0,0,1,1,2
123,155850,0,0,1,1,2
124,8000,0,0,6,18,0
125,120000,0,0,1,1,2
126,114500,0,0,1,1,2
127,170000,0,0,1,1,2
128,180000,0,0,1,1,2
129,40038,-1,0,54,69,0
130,85066,1,0,4,4,2
131,200000,3,0,1,1,2
132,177000,-1,0,1,1,2
133,78000,0,0,1,1,2
134,200000,0,0,1,1,2
135,51039,1,0,4,4,2
136,280000,0,0,1,1,2
137,200000,3,0,1,1,2
138,170000,0,0,1,1,2
139,85000,-1,0,1,1,2
140,200000,0,0,1,1,2
141,161311,0,0,2,2,2
142,48609,1,0,4,4,2
143,185000,0,0,1,1,2
144,120000,0,0,1,1,2
145,160000,1,0,1,1,2
146,210000,0,0,1,1,2
147,247500,0,0,1,1,2
148,250000,2,0,1,1,0
149,15806,0,0,6,6,1
150,132100,0,0,1,1,0
151,89306,1,0,9,8,2
152,150000,0,0,1,1,2
153,14307,1,0,6,6,0
154,186000,0,0,1,1,2
155,79833,3,0,0,0,0
156,225000,0,0,1,1,2
157,95000,0,0,1,1,2
158,55000,0,0,1,1,2
159,85000,-1,0,1,1,2
160,180000,0,0,1,1,0
161,110000,0,0,1,1,2
162,153600,0,0,1,1,2
163,190000,0,0,1,1,2
164,175000,0,0,1,1,2
165,75000,1,0,1,1,2
166,128058,1,0,4,4,0
167,168000,0,0,2,2,2
168,88256,0,0,0,4,0
169,124000,1,0,1,1,-1
170,125000,-1,0,1,1,2
171,15000,3,0,5,2,2
172,175000,0,0,1,1,2
173,135000,0,0,55,53,2
174,213580,0,-1,1,1,2
175,193900,0,0,1,1,-1
176,105500,1,0,1,1,2
177,110000,0,0,1,1,2
178,122600,0,0,1,1,2
179,160000,2,0,1,1,2
180,151902,0,0,4,4,0
181,275300,0,0,1,1,2
182,175000,3,0,1,1,2
183,139500,0,0,1,1,2
184,106000,0,0,1,1,2
185,185000,0,0,4,4,2
186,60795,1,0,6,6,0
187,182750,0,0,1,1,-1
188,90734,-1,0,3,3,0
189,83000,2,0,1,1,0
190,120000,0,0,1,1,2
191,34672,2,0,42,3,1
192,126000,0,0,1,1,2
193,150000,3,0,1,1,2
194,128000,0,0,1,1,2
195,115000,0,0,1,1,2
196,153000,0,0,1,1,2
197,157000,1,0,1,1,0
198,165220,0,0,1,1,2
199,150000,1,0,1,1,2
200,210000,0,0,1,1,2
201,122500,0,0,1,1,2
202,192500,0,0,1,1,2
203,141525,0,0,1,1,2
204,46000,2,-1,1,1,0
205,113000,0,0,1,1,2
206,86000,0,0,1,1,2
207,163800,0,0,1,1,2
208,220000,0,0,1,1,2
209,70000,2,0,1,1,2
210,105000,1,0,1,1,0
211,152000,0,0,1,1,2
212,120000,0,0,1,1,2
213,206000,1,0,1,1,-1
214,90000,1,0,1,1,2
215,200000,1,-1,1,1,1
216,180000,0,0,1,1,2
217,103691,0,0,2,2,0
218,80000,0,0,1,1,-1
219,192600,0,0,1,1,2
220,142200,0,0,1,1,2
221,180000,0,0,1,1,2
222,73880,0,0,4,4,2
223,6359,2,0,12,6,0
224,120000,0,0,1,1,2
225,90734,1,0,3,3,0
226,36773,0,-1,0,0,2
227,78990,1,0,4,4,2
228,18907,0,0,26,23,2
229,154000,0,0,1,1,2
230,200000,0,0,1,1,2
231,100000,1,0,1,1,2
232,24165,2,0,42,38,2
233,85000,2,0,1,1,2
234,36773,0,0,0,0,2
235,100000,1,0,1,1,2
236,142200,0,0,1,1,2
237,150000,1,0,1,1,2
238,93918,1,0,1,1,2
239,75000,0,0,1,1,2
240,188800,0,0,1,1,2
241,95000,1,0,1,1,2
242,170000,0,0,1,1,2
243,200000,0,0,1,1,2
244,18000,1,0,75,70,1
245,81500,0,0,1,1,2
246,213660,2,0,1,1,0
247,100000,0,0,1,1,2
248,169000,0,0,1,1,2
249,200000,0,0,1,1,2
250,131300,0,0,1,1,0
251,240000,0,0,1,1,0
252,90000,0,0,1,1,2
253,185000,0,0,1,1,2
254,85000,2,0,1,1,2
255,250000,1,0,1,1,2
256,220000,0,0,1,1,2
257,225000,0,0,1,1,2
258,120000,2,0,1,1,-1
259,141600,-1,0,1,1,2
260,122000,0,0,1,1,2
261,191200,0,0,1,1,2
262,225000,0,0,1,1,2
263,127000,0,0,1,1,2
264,104611,0,0,4,4,2
265,174000,0,0,1,1,0
266,50000,1,0,5,5,0
267,140000,0,0,1,1,2
268,101570,0,0,1,1,2
269,66000,0,0,1,1,2
270,180000,0,0,1,1,-1
271,104500,1,0,1,1,2
272,65488,0,0,1,1,2
273,110600,0,0,1,1,2
274,129300,0,0,1,1,2
275,180000,0,0,1,1,2
276,141300,0,0,1,1,2
277,90000,1,0,1,1,2
278,66970,2,0,21,18,0
279,225000,0,0,1,1,-1
280,134760,0,0,1,1,2
281,148750,0,0,1,1,2
282,209100,0,0,1,1,-1
283,106500,0,0,1,1,2
284,144000,0,0,1,1,0
285,45390,2,0,4,4,0
286,148700,0,0,1,1,0
287,61896,0,0,4,4,0
288,84053,1,0,12,3,2
289,155000,0,0,1,1,2
290,61566,0,0,4,4,2
291,180000,0,0,1,1,2
292,185900,0,0,1,1,2
293,210000,0,0,1,1,-1
294,100000,0,0,1,1,2
295,110000,0,0,1,1,2
296,179820,0,0,1,1,2
297,152000,0,0,1,1,2
298,170000,0,0,1,1,2
299,136000,0,0,1,1,0
300,20984,1,0,6,6,0
301,175100,3,0,1,1,2
302,120000,0,0,1,1,2
303,102500,-1,0,1,1,2
304,185900,0,0,1,1,2
305,156400,0,0,1,1,2
306,92350,0,0,4,4,2
307,130000,0,0,1,1,2
308,64090,-1,0,3,3,2
309,6270,2,0,26,23,0
310,204500,0,0,1,1,2
311,190000,0,0,1,1,2
312,288000,0,0,1,1,2
313,81666,0,0,1,1,2
314,169000,0,0,1,1,2
315,160288,3,0,4,4,2
316,200000,-1,0,1,1,2
317,160000,0,0,1,1,2
318,115000,0,0,1,1,1
319,85000,0,0,1,1,2
320,90000,0,0,24,22,-1
321,72212,1,0,4,4,0
322,135000,0,0,1,1,2
323,100000,2,0,1,1,2
324,183500,0,0,1,1,-1
325,85500,0,0,1,1,-1
326,154000,1,0,1,1,2
327,108000,0,0,1,1,0
328,167500,1,0,1,1,2
329,210000,3,0,1,1,2
330,48289,0,0,0,0,2
331,237000,0,0,1,1,2
332,130000,0,0,1,1,2
333,129300,0,0,1,1,2
334,105400,0,0,1,1,2
335,130240,0,0,1,1,2
336,33808,1,0,6,6,2
337,98506,1,0,4,4,2
338,95000,1,0,1,1,2
339,119000,0,0,1,1,-1
340,85847,0,0,0,0,0
341,179400,0,0,1,1,2
342,90000,0,-1,1,1,2
343,149600,1,0,1,1,2
344,121700,0,0,1,1,2
345,133832,0,0,1,1,2
346,38631,0,0,0,0,2
347,136100,0,0,1,1,2
348,260000,1,0,1,1,2
349,119000,0,0,1,1,2
350,182160,3,0,1,1,2
351,200000,0,0,1,1,2
352,275300,0,0,1,1,2
353,112000,1,0,1,1,0
354,230000,-1,0,1,1,2
355,204500,0,0,1,1,2
356,136000,0,0,1,1,0
357,90000,0,0,1,1,0
358,129300,0,0,1,1,2
359,132320,0,0,1,1,2
360,137500,0,0,1,1,2
361,120000,1,0,1,1,2
362,126500,0,0,1,1,2
363,22611,1,0,6,6,0
364,228000,0,0,1,1,2
365,80000,-1,0,1,1,2
366,195000,0,0,1,1,2
367,130000,0,0,2,2,2
368,416000,3,1,1,1,1
369,90000,1,0,1,1,2
370,136000,-1,0,1,1,2
371,120000,2,-1,4,4,-1
372,81666,0,0,1,1,2
373,146000,0,0,1,1,2
374,144000,0,0,1,1,2
375,50000,2,0,1,45,1
376,146000,1,0,1,1,2
377,76833,0,0,40,4,1
378,153600,0,0,1,1,2
379,150000,1,-1,1,1,2
380,80481,1,0,16,14,2
381,160000,0,0,1,1,2
382,205000,0,0,1,1,2
383,9289,1,0,26,23,2
384,145000,3,0,1,1,2
385,225000,0,-1,1,1,2
386,175000,0,0,1,1,2
387,80000,1,0,1,1,2
388,160000,0,0,55,1,1
389,90000,1,0,1,1,2
390,167000,0,0,1,1,2
391,164000,0,0,1,1,2
392,92350,1,0,4,4,2
393,205920,0,0,1,1,2
394,324000,3,0,1,1,2
395,73546,1,0,0,0,2
396,81000,2,0,1,1,1
397,102100,0,0,1,1,2
398,249500,0,0,1,1,2
399,150000,0,0,1,1,2
400,202000,0,0,1,1,2
401,222200,0,0,1,1,0
402,120000,0,0,1,1,2
403,208450,0,0,1,1,2
404,82000,2,0,1,1,0
405,191475,0,0,1,1,2
406,102640,1,0,1,1,2
407,136000,0,0,1,1,0
408,155000,1,0,1,1,2
409,100000,0,0,1,1,2
410,139500,0,0,1,1,2
411,120000,1,0,1,1,2
412,120000,0,0,1,1,0
413,183310,1,0,1,1,2
414,40481,1,0,6,6,0
415,140000,0,0,1,1,0
416,165000,1,0,1,1,2
417,126000,0,0,1,1,2
418,138750,0,0,1,1,2
419,128875,0,0,1,1,2
420,129300,0,0,1,1,2
421,150000,1,0,1,1,2
422,225000,0,0,1,1,2
423,130000,1,0,1,1,2
424,51753,2,0,2,2,0
425,109024,-1,0,4,4,2
426,174500,0,0,1,1,2
427,104000,0,0,1,1,2
428,106500,1,0,1,1,2
429,207000,0,0,1,1,2
430,236900,0,0,1,1,0
431,175100,0,0,1,1,2
432,139000,0,0,1,1,2
433,141525,0,0,1,1,2
434,175000,3,0,1,1,2
435,33000,2,0,42,3,1
436,269000,0,0,2,2,2
437,190000,0,-1,1,1,2
438,190000,0,0,1,1,2
439,143865,1,0,1,1,2
440,72000,1,0,24,22,2
441,141525,0,0,1,1,2
442,100000,-1,0,1,1,2
443,65666,1,0,3,3,1
444,129000,0,0,1,1,2
445,128750,1,0,1,1,2
446,116000,0,0,1,1,2
447,125000,2,0,1,1,2
448,183000,0,0,1,1,0
449,172309,0,0,16,14,0
450,130026,3,0,3,3,2
451,125000,1,0,1,1,2
452,115000,0,0,1,1,2
453,178800,0,0,1,1,0
454,200000,3,0,1,1,2
455,129300,0,0,1,1,2
456,84053,1,0,3,3,1
457,145000,0,0,2,2,2
458,216000,0,0,1,1,2
459,124234,2,0,1,1,2
460,151410,1,-1,1,1,2
461,142200,0,0,1,1,2
462,190000,0,0,2,2,-1
463,130000,0,-1,1,1,2
464,169000,-1,0,1,1,2
465,215000,0,0,1,1,0
466,423000,1,-1,1,1,0
467,63040,-1,-1,0,0,2
468,200000,3,0,1,1,2
469,195700,0,0,1,1,2
470,123405,0,0,3,3,0
471,260000,0,0,1,1,0
472,210000,0,0,1,1,2
473,100000,1,0,1,1,2
474,75000,2,0,1,1,2
475,169000,0,0,1,1,2
476,160000,0,0,1,1,2
477,252000,0,0,1,1,2
478,77262,0,0,39,35,2
479,204500,0,0,1,1,2
480,235000,0,0,1,1,2
481,98000,1,0,1,1,2
482,140000,0,0,1,1,2
483,194500,3,0,1,1,2
484,142200,0,0,1,1,2
485,170000,0,0,1,1,2
486,112872,1,0,4,4,0
487,160000,2,0,1,1,2
488,184000,0,-1,1,1,2
489,78000,1,0,1,1,2
490,172200,0,0,1,1,2
491,40777,0,0,0,0,2
492,231250,0,0,1,1,2
493,85000,2,0,1,1,2
494,100000,1,0,1,1,2
495,185900,0,0,1,1,2
496,198800,0,0,1,1,2
497,52500,1,0,1,1,2
498,245100,-1,0,1,1,2
499,219000,1,0,1,1,0
500,45760,1,0,58,1,1
501,37824,0,0,0,0,2
502,165000,0,0,1,1,2
503,80000,0,0,71,1,-1
504,145885,2,0,1,1,2
505,85000,1,0,1,1,2
506,50180,1,0,8,24,2
507,168400,0,0,1,1,2
508,55000,2,0,1,1,1
509,149040,-1,0,1,1,2
510,235000,0,0,1,1,0
511,110000,0,0,1,1,2
512,115000,0,-1,1,1,2
513,225900,0,0,1,1,2
514,110037,2,0,4,4,0
515,42533,-1,0,4,4,2
516,110600,0,0,1,1,2
517,155000,0,0,1,1,-1
518,160000,0,0,1,1,2
519,160000,0,0,1,1,2
520,109280,0,0,1,1,2
521,150000,0,0,1,1,2
522,80000,1,0,1,1,0
523,105000,0,0,1,1,2
524,176000,0,0,2,2,2
525,160000,0,0,1,1,2
526,228000,0,0,1,1,2
527,170000,1,0,1,1,2
528,100000,-1,0,1,1,2
529,100000,0,0,1,1,2
530,185900,0,0,1,1,2
531,200160,0,0,1,1,2
532,63312,0,0,32,29,0
533,160000,0,0,1,1,2
534,250000,0,0,1,1,2
535,80000,0,0,1,1,0
536,173762,0,0,3,3,2
537,126000,0,0,1,1,2
538,172800,0,0,1,1,2
539,125000,-1,0,1,1,2
540,153400,0,-1,1,1,2
541,63000,0,-1,1,1,2
542,85500,0,0,1,1,2
543,247500,0,0,1,1,2
544,87000,1,-1,1,1,2
545,180180,0,0,1,1,2
546,100000,2,0,1,1,2
547,225000,0,0,1,1,2
548,155000,3,0,1,1,2
549,170000,0,0,1,1,2
550,183500,0,0,1,1,2
551,139500,0,0,1,1,2
552,68293,0,0,0,0,2
553,47280,1,0,0,0,2
554,140000,0,0,1,1,2
555,135000,1,0,1,1,2
556,144100,1,0,1,1,2
557,63000,0,0,1,1,2
558,129300,0,0,1,1,2
559,75000,1,0,2,2,2
560,180000,0,0,1,1,2
561,122000,0,0,1,1,2
562,165000,-1,0,1,1,2
563,140000,0,0,1,1,2
564,100000,2,0,72,67,0
565,120250,0,0,1,1,2
566,216000,0,0,1,1,2
567,67597,1,0,2,2,2
568,149040,-1,0,1,1,2
569,60000,0,0,15,13,2
570,135000,0,0,1,1,2
571,185000,0,0,1,1,2
572,70186,0,0,4,4,2
573,13989,1,0,6,6,0
574,150000,0,0,1,1,2
575,120000,1,0,1,1,2
576,110000,1,0,1,1,2
577,83171,1,0,13,19,0
578,284310,0,0,1,1,2
579,145000,0,0,1,1,2
580,150000,1,0,1,1,2
581,37824,0,0,0,0,2
582,185900,0,0,1,1,2
583,226700,0,0,1,1,2
584,115092,1,0,1,1,2
585,260000,0,0,1,1,2
586,143200,-1,0,1,1,2
587,133766,0,0,13,19,0
588,260500,3,0,1,1,2
589,143100,0,0,2,2,2
590,115000,0,0,1,1,2
591,175000,0,0,1,1,2
592,97218,1,0,4,4,2
593,81500,0,0,1,1,2
594,80000,2,0,1,1,0
595,130000,0,0,1,1,2
596,93800,0,0,1,1,2
597,184000,0,0,1,1,2
598,51039,1,0,4,4,2
599,188000,0,0,1,1,0
600,145000,0,0,1,1,2
601,165000,0,0,1,1,2
602,195895,1,0,4,4,2
603,252000,0,0,1,1,2
604,172200,0,0,1,1,-1
605,68400,0,0,1,1,2
606,75116,0,-1,8,24,0
607,92000,0,0,1,1,0
608,185900,0,0,1,1,2
609,150000,0,0,1,1,0
610,69751,1,0,6,3,1
611,250000,0,0,1,1,2
612,90000,1,0,1,1,2
613,144000,0,0,1,1,2
614,240500,0,0,1,1,2
615,110000,0,0,1,1,-1
616,208000,0,0,1,1,2
617,130000,0,0,1,1,2
618,202800,0,-1,1,1,0
619,200000,0,0,1,1,2
620,185900,0,0,1,1,2
621,191475,-1,0,1,1,2
622,38400,1,0,31,1,2
623,198200,0,-1,1,1,2
624,36773,0,0,0,0,2
625,150000,0,0,1,1,2
626,148000,0,0,1,1,2
627,196200,3,0,1,1,2
628,40000,1,0,12,11,0
629,200000,0,0,1,1,2
630,198200,0,0,1,1,2
631,55800,0,0,0,0,2
632,175000,0,0,1,1,2
633,145000,0,0,1,1,2
634,12000,2,0,31,28,0
635,275300,0,0,1,1,2
636,309400,-1,0,1,1,0
637,75116,0,0,12,11,2
638,250000,0,0,1,1,2
639,69999,1,0,51,51,0
640,175000,0,0,1,1,2
641,160000,0,0,1,1,2
642,84000,0,0,1,1,2
643,66837,1,0,4,4,2
644,130000,1,0,1,1,2
645,140000,0,0,1,1,2
646,180000,0,0,1,1,-1
647,160000,0,0,1,1,2
648,130000,1,0,1,1,2
649,109000,1,0,1,1,0
650,175000,0,0,1,1,2
651,80000,-1,0,1,1,2
652,205000,0,0,1,1,2
653,350000,-1,0,1,1,0
654,67723,1,0,4,4,2
655,135000,0,0,1,1,2
656,130000,0,0,1,1,2
657,250000,0,0,1,1,2
658,163800,0,0,1,1,2
659,136000,0,0,1,1,0
660,172200,0,0,1,1,2
661,100000,1,0,2,2,2
662,172200,-1,0,1,1,2
663,175000,0,0,1,1,2
664,93800,0,0,1,1,2
665,250000,0,0,1,1,2
666,129300,-1,0,1,1,2
667,136620,0,0,1,1,2
668,49268,2,0,3,3,1
669,99000,0,0,1,1,2
670,115500,3,0,1,1,2
671,310000,3,0,1,1,2
672,126500,1,0,1,1,-1
673,30000,1,0,24,22,0
674,100000,-1,0,1,1,2
675,59102,2,0,76,61,0
676,106000,0,0,1,1,2
677,186000,0,0,1,1,2
678,150000,0,0,1,1,2
679,113000,1,0,1,1,0
680,297300,0,0,1,1,2
681,90000,1,0,1,1,2
682,135000,0,0,1,1,2
683,17509,1,0,6,18,2
684,150000,0,0,1,1,2
685,120000,0,0,1,1,2
686,105000,0,0,1,1,2
687,155000,0,0,1,1,2
688,250000,0,0,1,1,2
689,113750,0,0,1,1,2
690,42026,1,-1,0,0,2
691,153600,0,0,1,1,2
692,145900,0,0,1,1,2
693,163800,0,0,1,1,2
694,100000,2,0,5,5,0
695,160000,0,0,1,1,2
696,135000,0,0,1,1,2
697,89306,-1,0,12,11,0
698,80000,2,0,1,1,0
699,60761,1,0,4,4,2
700,240000,0,0,1,1,2
701,161800,0,0,1,1,2
702,120000,1,0,1,1,2
703,55000,2,0,1,1,2
704,60000,1,0,1,1,2
705,26005,1,0,40,1,0
706,175100,0,0,1,1,2
707,21844,2,0,20,17,2
708,258000,0,0,2,2,2
709,90000,1,0,1,1,0
710,175000,0,0,1,1,2
711,169200,0,0,0,0,2
712,100000,0,0,1,1,2
713,210000,0,0,1,1,2
714,152000,0,0,1,1,2
715,36773,0,0,8,24,2
716,120000,1,0,1,1,2
717,115440,0,0,1,1,2
718,191475,0,0,1,1,2
719,130000,1,0,1,1,2
720,110600,0,0,1,1,2
721,75000,0,0,1,1,2
722,79000,1,0,1,1,2
723,50432,0,0,0,0,2
724,142200,0,0,1,1,2
725,177000,0,0,1,1,0
726,100000,-1,0,1,1,2
727,252000,0,0,1,1,2
728,180000,0,0,1,1,2
729,160080,0,0,1,1,2
730,38000,0,0,1,1,2
731,150000,1,0,1,1,-1
732,110500,0,0,1,1,2
733,168000,0,0,1,1,2
734,90000,0,0,1,1,2
735,169000,0,0,1,1,2
736,139500,0,0,1,1,2
737,160000,2,0,1,1,2
738,235000,0,-1,1,1,2
739,175000,0,0,1,1,2
740,236000,0,0,1,1,2
741,129300,0,0,1,1,2
742,62000,-1,0,1,1,2
743,230000,0,0,1,1,2
744,135000,2,0,1,1,2
745,20171,0,0,53,52,0
746,66531,1,0,0,0,2
747,81500,0,0,1,1,2
748,135000,0,0,1,1,2
749,318300,0,0,1,1,2
750,129300,0,0,1,1,2
751,147800,0,0,1,1,2
752,196000,0,0,1,1,2
753,167500,-1,0,1,1,2
754,234100,0,0,1,1,2
755,152500,0,0,1,1,2
756,145000,0,0,1,1,2
757,135000,0,0,2,2,2
758,150000,1,0,1,1,2
759,206000,1,0,1,1,2
760,80000,2,0,22,20,2
761,45555,1,2,46,47,2
762,252000,0,0,1,1,2
763,185900,0,0,1,1,2
764,120000,1,0,1,1,2
765,185000,0,0,1,1,0
766,121600,0,0,1,1,2
767,150000,1,0,1,1,2
768,250000,0,0,1,1,0
769,183000,0,0,1,1,2
770,38631,0,0,0,0,2
771,65257,1,0,21,18,2
772,115000,0,0,1,1,2
773,133300,0,0,1,1,2
774,113000,0,0,1,1,0
775,105000,0,0,1,1,2
776,106800,0,0,1,1,2
777,126080,1,0,3,3,1
778,139000,0,0,1,1,2
779,170550,0,0,1,1,2
780,141300,1,0,1,1,2
781,121500,0,0,1,1,2
782,297300,0,0,1,1,2
783,121523,1,0,4,4,2
784,142200,0,0,1,1,2
785,169000,0,0,1,1,2
786,185900,0,0,1,1,2
787,83500,1,0,1,1,2
788,112000,1,0,1,1,2
789,106250,1,0,1,1,2
790,31520,2,0,8,0,2
791,130000,1,0,1,1,2
792,140000,3,0,1,1,2
793,200000,0,0,1,1,2
794,37824,0,0,0,0,2
795,75000,1,0,1,1,2
796,130000,1,0,1,1,2
797,106800,-1,0,1,1,2
798,75050,1,0,13,19,0
799,85000,0,0,1,1,2
800,152900,-1,0,1,1,2
801,205000,0,0,1,1,2
802,300000,2,0,6,6,0
803,160000,0,0,1,1,2
804,185000,3,0,1,1,2
805,110000,0,0,1,1,2
806,185900,0,0,1,1,2
807,203300,0,0,1,1,2
808,135000,0,0,1,1,2
809,87738,0,0,2,2,1
810,150000,0,0,1,1,2
811,130000,0,0,1,1,2
812,68318,0,0,13,12,2
813,180000,1,0,1,1,2
814,108000,1,0,1,1,2
815,73900,2,-1,1,1,2
816,87000,1,0,1,1,0
817,95000,-1,0,2,2,2
818,73000,1,0,1,1,0
819,56536,2,0,10,9,1
820,33609,1,-1,29,40,0
821,191475,0,0,1,1,2
822,31795,1,0,6,1,2
823,142200,0,0,1,1,2
824,170000,-1,-1,1,1,2
825,125000,0,0,1,1,2
826,142800,0,0,1,1,2
827,74178,0,0,1,1,2
828,200000,0,0,1,1,2
829,186000,0,0,1,1,2
830,240000,0,0,1,1,2
831,129000,0,0,1,1,2
832,145000,0,0,1,1,2
833,180000,0,0,1,1,2
834,141600,0,0,1,1,2
835,145000,0,0,1,1,2
836,48000,1,0,68,1,1
837,61989,1,0,19,49,0
838,191475,0,0,1,1,2
839,190000,0,0,1,1,2
840,61800,2,0,1,1,2
841,131300,0,0,1,1,0
842,120000,0,0,1,1,2
843,100706,0,0,1,1,2
844,165000,1,0,1,1,2
845,113000,0,0,1,1,2
846,133300,0,0,1,1,2
847,115000,0,0,1,1,-1
848,151800,0,0,1,1,2
849,28609,2,3,56,54,1
850,48289,-1,0,0,0,2
851,160000,2,0,1,1,2
852,210000,0,0,1,1,2
853,120000,0,0,62,60,1
854,106000,-1,0,1,1,0
855,174000,0,0,3,3,2
856,145000,0,0,1,1,2
857,189750,2,0,1,1,2
858,82528,2,0,4,4,0
859,35093,2,0,4,4,0
860,128875,0,0,1,1,2
861,63000,0,0,1,1,2
862,160000,0,0,1,1,2
863,220110,0,0,1,1,2
864,190000,0,0,1,1,1
865,120000,0,0,1,1,2
866,42197,1,0,12,11,1
867,265000,3,0,1,1,2
868,145000,0,-1,1,1,2
869,50000,2,0,1,1,2
870,185700,1,0,1,1,2
871,99750,0,0,1,1,2
872,241000,1,0,1,1,2
873,240000,0,0,1,1,2
874,84053,3,0,9,8,0
875,85000,0,0,1,1,2
876,101228,0,0,4,4,2
877,200000,1,0,6,1,0
878,100000,0,0,1,1,2
879,149850,0,0,1,1,2
880,183000,0,0,1,1,2
881,198800,0,-1,1,1,2
882,38776,1,0,0,0,2
883,217000,0,0,1,1,2
884,317070,0,0,1,1,2
885,93700,0,0,1,1,2
886,142200,0,0,1,1,2
887,65062,1,0,7,7,0
888,85700,0,0,1,1,2
889,175000,0,0,1,1,2
890,141525,0,0,1,1,2
891,175000,0,0,1,1,2
892,120000,0,-1,1,1,2
893,216200,1,0,1,1,-1
894,119000,0,0,1,1,2
895,75000,0,0,1,1,2
896,275000,0,0,3,3,2
897,245000,0,0,1,1,2
898,253750,0,0,0,0,2
899,30000,1,1,1,1,1
900,130000,-1,0,1,1,2
901,129300,0,0,1,1,2
902,175000,-1,0,2,2,2
903,90000,1,0,1,1,2
904,101570,0,0,1,1,2
905,193000,0,0,0,1,2
906,190000,0,0,1,1,0
907,106800,0,0,1,1,2
908,300240,0,0,1,1,2
909,120000,0,0,1,1,2
910,157750,0,0,1,1,2
911,117104,0,0,2,2,0
912,100000,1,0,2,2,2
913,80000,0,0,1,1,2
914,172200,0,0,1,1,2
915,24823,1,0,23,21,0
916,138750,0,0,1,1,2
917,120000,1,0,1,1,2
918,50000,1,0,34,30,1
919,12888,-1,0,6,6,1
